index_finger_pos,thumb_tip_pos,middle_finger_pos,ring_finger_pos,pinky_finger_pos,gesture
34.90361483924601,0.9041624359573851,46.03428598593255,52.439712285647325,59.92510427196401,backward
35.38646213357807,2.10379922703013,45.942850193654635,52.169366603234685,59.872479897061424,backward
35.33928434229301,2.6352214951297497,46.11897792269987,52.00065727057399,59.53830981988119,backward
35.45003649221495,3.6841767506603356,46.08689620250545,52.07045934563689,59.73268875629653,backward
35.715269179364746,3.8519106337200597,46.40906244798662,52.293826225693905,60.00639797211974,backward
35.92993888342928,4.062459361667106,46.188539502363,52.42658108307151,60.18509646683934,backward
35.66912561976574,4.482242543246486,46.597549480766716,52.44504349334916,60.271730136762315,backward
35.58000445611929,5.172333879236057,46.74731638878901,52.39604552251914,60.25807344392468,backward
35.6898960735382,5.004767922651994,46.49911921354321,52.687941671388515,60.52318842923729,backward
35.631522615960904,5.243525085364624,46.739279857320916,53.11373646201919,60.84835120898898,backward
35.69530730883256,5.402343077349261,46.720203341216646,53.34871663493995,61.64142820371313,backward
35.95739266222476,5.166019783864481,47.07477355682413,53.59729758624583,61.62311901304712,backward
35.40472848527699,5.452479677873277,46.36622848574004,53.139686806573074,61.51945913668453,backward
35.42029268306798,4.4577103430488645,46.663865937192355,53.16182130847863,61.35893231904097,backward
35.41010194742077,4.529475035063308,46.23202764118476,53.247137462024,61.54803913195808,backward
35.084616782505336,4.015709263044088,46.242726505242594,52.89362520635,61.09511698136477,backward
34.95661287685147,4.678651550803235,45.913655804648194,52.744115456997584,61.08412036549634,backward
34.69268033630199,3.7454920069775084,45.75111417438997,52.329128886797484,60.70372547382867,backward
34.80241207564361,4.1161875908821735,45.78654963962124,52.53258260777889,61.00667483637777,backward
34.429129897082795,3.6378539449605487,45.44015419799219,52.00998926741844,60.39079552578586,backward
34.43150202878774,4.573630227926071,45.45627235691897,52.403375838656736,60.618043551184265,backward
34.235159339269046,4.221329310586291,45.21891827552119,51.97954523241858,60.33586554257728,backward
34.613784629790686,3.983170177987501,45.42189214192886,52.59590829806484,60.79885199160709,backward
34.45226950276675,3.312971382690868,45.19510668549573,52.068298221041566,60.66988495910618,backward
34.25604794106176,4.633060412981081,44.95784509419602,52.02707925019202,59.93062729635355,backward
34.363676127152566,5.014251005166298,45.0860934608895,51.97286374523531,59.90009393391996,backward
34.54371857465685,4.1485199582829635,44.08533595342327,50.933619603720864,58.73578819720794,backward
33.77217831060314,4.5714438616834965,43.80843678216924,50.91976132130016,59.310725261464306,backward
33.17956253096788,4.445875452293466,43.69711410515177,50.551609592081114,58.65510051082136,backward
34.45866123900215,4.565431001573384,44.83447985361646,51.831999686709494,59.4203874808964,backward
33.35040958370264,4.851288630313728,44.31536621566555,51.61162360364824,59.54083772652763,backward
32.907344620093895,3.677371672226948,44.88171717608679,51.487411884895984,59.30800076790957,backward
32.81981636996776,2.88851569227079,44.48037700317807,50.97173944761904,59.08773685829257,backward
32.57391996946255,3.278402730393382,44.397036227262596,50.832763929913014,58.73427918016261,backward
33.00344656439864,3.7208768073937493,44.04051837741399,50.21347298052489,57.27908872416414,backward
32.49548897210494,4.483553947771878,43.710898145274406,49.69675749408498,57.3936610193312,backward
32.35343078065806,5.0283405147282405,43.895209086218074,49.93556388516104,57.02835660108871,backward
32.26517746661963,4.9789888145401955,43.76240616082726,49.70616665682642,57.260730411831396,backward
31.718723453709796,5.425970255970958,43.508888301956226,50.03211213566641,57.618150151615964,backward
32.13496217661556,5.539227163658395,43.14635901684803,49.76894119896096,57.39255464325829,backward
31.802739260098992,6.445523267974505,43.36294357050216,49.937628151533325,57.59800268945915,backward
32.0411201910729,5.9272225564572025,43.02564675499141,49.33454026628199,57.31635605114519,backward
31.547046631606428,6.717006457539573,42.900228140362714,49.078378827269496,57.393086970292764,backward
32.29930634880256,8.103078487973027,43.59308069073847,49.568058798473906,57.655914311510664,backward
32.38460563950112,8.249518364138448,43.65098864417067,49.751081492438,57.777228907508075,backward
32.37035187057358,8.164407530027152,43.84393149024277,49.79885665227697,57.768264007024484,backward
33.40853769452379,7.152402444542229,44.00503402048378,50.06849553051289,58.1432011431471,backward
33.090951497299,6.924622461691921,44.86785743016697,51.06546837397696,58.347181538682975,backward
33.59348558380213,7.502377211710749,45.609482640558234,51.519032103748366,58.624785179338154,backward
34.410159013033145,5.6443384921143975,45.69764554274205,51.90139982372656,59.9225944409424,backward
34.34940500170374,5.009780598092248,46.64833923787793,53.44859462465026,62.2968034632779,backward
35.123165955627954,5.951988846907748,46.32669567697673,53.44515173369916,62.75245202846244,backward
35.53937217859335,7.098640382735274,45.91605244082981,52.94451518743934,62.0784032841895,backward
35.868567711105555,7.0617150159605,45.75620901445543,52.74353029058393,61.57439262999382,backward
35.68337741342968,6.616111977988275,47.009202306544914,53.930794265435445,63.083399603165326,backward
35.945322509301754,5.6353746400438345,46.41209941112139,53.73600821256074,62.650296923250544,backward
35.570636072020555,3.333111202426423,47.68242397483844,55.08964641698906,64.03128482138173,backward
34.97877522184286,2.6793266998185143,47.46455935984603,55.161482368404364,64.74527079661624,backward
35.360053921746506,2.825509350507741,47.47451955548349,54.44947246661106,63.0729201827713,backward
34.970488258135596,2.6861448519030784,46.93326214265698,54.27807731153782,62.765498698693335,backward
34.44957091411838,2.3428683737609868,46.253961137913805,53.500511862773266,61.667138585523716,backward
34.519430288048454,2.227436214613012,46.22475642057637,53.41955056597083,61.78949952192587,backward
35.452007619663924,2.9914536480582314,47.14362196800538,54.25119402686693,62.05461237175389,backward
34.578129842779376,3.041146584042423,46.46156787765498,53.70742115956706,62.10533559481715,backward
35.29386452748242,2.8403428465301737,47.30661076148542,54.28471513593308,62.519928172571085,backward
34.88949531398471,3.3810919652962474,47.04444746374653,54.27754690788062,62.554019372861276,backward
34.565200527722645,2.137455729610371,46.776066730863036,53.503878151152946,61.95435885386689,backward
34.31092061014679,2.4517044886157677,46.51498449799922,53.5327384136024,61.510574519937066,backward
34.82892790703603,2.0959075410505643,46.97626407719953,53.5339130859417,61.57436350430024,backward
34.8338600539372,2.2144286957104966,46.879051269771615,53.82829675302949,61.59094323968456,backward
35.3424569777998,1.6344595426969368,47.02664108463623,53.76930204277091,62.139131206178746,backward
35.40843873634417,1.2944220116341576,47.17485156394414,54.21309073384056,61.994834240680554,backward
