index_finger,thumb_tip,middle_finger,ring_finger,pinky_finger,gesture
250.34819803430162,285.5829401129342,253.94394304581112,236.34282881805518,223.79012785616717,rock
251.22774674968048,286.4458658179956,259.1755913212303,241.669662059557,225.94718164191625,rock
251.32236274591463,286.22531600755303,258.51729646891806,242.6934558703755,226.1259617016175,rock
251.37288938492642,286.27656798595666,258.7855999983168,242.90199979113322,226.2257453491944,rock
251.22380488342287,286.3510390772184,258.04744368155366,242.52636060221468,225.6549732072737,rock
251.24856312726675,286.11163206400846,258.70301168606346,242.5198161071961,225.69326616882014,rock
251.4358163239012,286.6103986009142,259.945226646896,243.70430314194937,226.0380561596348,rock
251.42021585811912,286.9161696385587,259.652362657662,243.38037823135886,225.63419710310217,rock
251.5062382168888,286.46008676374663,259.28850997391385,243.57008853073341,225.92666218316486,rock
251.3757401452261,286.08576197215837,259.7080990511204,243.2217912734783,225.74275604404272,rock
251.1734939280321,286.1465931597394,260.23137439316633,242.37763727147023,225.26824164789522,rock
251.56555181604278,286.83263425653604,260.8220522786987,244.55004440780343,226.05116289653037,rock
251.6570673895497,287.0220154331901,261.4815995159529,245.4458067130737,226.02608265407392,rock
251.5486745034039,287.10875506364437,260.7292779960519,245.22831483040545,225.36278676522682,rock
251.08489533775054,286.16588219431804,260.5180359883251,244.66738118370637,225.21250878463138,rock
251.0534270541001,285.80655089308175,261.0783797842229,244.88451539510916,225.07792468887203,rock
250.81337894740807,285.27609587481925,259.26658953750405,244.28841942525247,224.97597084494095,rock
251.0580302960193,285.7467509954123,260.17794626733973,244.67882476365043,225.2855594362454,rock
250.7652092861426,285.4611029995316,260.4053065895134,244.61032503914277,225.2381224588286,rock
250.77939891080578,285.0740283247117,259.527639398132,243.99455941766422,224.63668613097684,rock
251.15873588914286,285.8517722309159,261.4727905329647,245.57861081794346,224.84148090826523,rock
250.80243090557207,285.12251800975974,259.9408879719807,244.95841215225926,224.21023028096457,rock
250.92102595420988,285.3916930262945,260.49149231994903,244.8870709508888,224.6822683641795,rock
250.8748696772481,285.2985594470775,259.9316747493472,245.01652055117063,224.58318026439215,rock
250.60849149995389,284.8830733561489,260.16699942376766,245.04017286448646,224.31184754258007,rock
251.0550938553581,285.1188393901407,260.0084141147653,245.3010340681316,224.7447447831571,rock
250.95118317745795,285.47861009276284,259.86723919784635,244.79600296652853,224.67241593144323,rock
250.85800517193343,284.9614017253474,260.01968754196673,244.45451800728242,224.44152069066888,rock
251.01991103204054,284.9850119226385,259.49914480766205,244.68786594784137,224.54174380065785,rock
250.910589677595,285.57716345876145,260.3238992411238,245.25293376786496,224.35347589845293,rock
250.78272020236955,285.512543100657,259.42031486279546,245.04897616001253,224.3583504618211,rock
251.00384627939573,285.6537774816894,260.00987308018216,245.05031964219296,224.5381270417835,rock
250.65604615672203,285.2574517203032,259.2783035643732,244.19047630868607,224.20218882439906,rock
250.9152694152255,285.0025014589844,260.49958757203393,244.98177024388826,224.52360796420092,rock
250.83091208864874,284.8634671973484,260.0415264523005,244.48730480772804,224.20529895651404,rock
250.44148644464235,284.9800213296198,259.59307739221583,244.09059138869438,223.76918002701638,rock
250.5716376724725,284.73789114104295,259.6692192541452,244.76729417974184,223.89570461583796,rock
250.9924858274333,284.9079774813777,259.89384887798525,245.205396912693,224.02736419481047,rock
250.63519262533967,284.6062014045168,258.90455483415286,244.08524287391913,223.8642332021673,rock
250.64523166479464,285.0218689235663,259.3045095019786,244.91066352724192,223.7374216722955,rock
250.78370021050864,284.71394370596676,259.3687653935266,245.190526215354,223.42625353520992,rock
250.66753112524802,284.5216066576174,259.42692659529155,244.6610396239342,223.28855612976903,rock
250.60915791701012,284.2995450622339,259.05755293325285,244.07646957549704,223.1206232729327,rock
250.66334263710542,284.4291176875534,259.16312292031796,244.2855349763048,223.48333806742,rock
250.7669875031913,284.48688941738067,259.41237539722823,244.46223660931645,223.35497191234262,rock
250.61045485533384,284.7293321973149,259.23708747246246,244.55029898005694,223.01733933285126,rock
250.72169510355053,284.47737921369276,260.1952982112974,244.90257095653135,223.3806445035689,rock
250.95664388660862,284.76106050018655,259.7228018288288,244.84675798186458,223.58093034104067,rock
250.7550753243121,284.26065611725636,258.3813244339,244.11432628820168,223.1373877319417,rock
250.709038673601,284.65881276572503,258.42440921482597,244.48050603526025,223.50891741673192,rock
250.70971526920522,284.3239831184369,258.50800055695333,244.3060999492876,223.17641931727707,rock
250.90457814215307,284.59075426465193,259.7138586928578,245.51871076678202,223.77113405491394,rock
250.62383238930047,284.6536348137196,259.2582457458753,244.43988818536118,223.3575932140213,rock
250.6140722364077,284.3003878453702,258.3236199060511,243.72366352851088,223.39146387344502,rock
