index_finger,thumb_tip,middle_finger,ring_finger,pinky_finger,gesture
264.889713685317,286.2875809864299,268.1872445449052,269.4298321102384,265.86423876532507,stop
278.10137051365473,288.40622117298255,276.2967030361778,275.90353430962256,273.67785103546174,stop
278.62590498846686,289.28053806767207,278.42901443946306,278.36437123606606,276.17931264445997,stop
278.7899468831628,289.9399727363458,279.59801719694394,278.24947317394333,274.37156819374616,stop
278.6832446454861,289.4066484706038,279.2849907519522,278.60544750142606,274.779199026923,stop
279.5144311546254,290.2204866182887,280.34847817594544,279.5124848202225,275.065785349586,stop
279.7604433216602,288.9705863916532,280.09856524052003,279.65377184066426,275.22273825549496,stop
280.3949494065863,289.43387497720727,280.4235862205178,279.7801292970971,275.1718459310262,stop
278.68933545200576,288.9946033280231,278.47272005695004,278.0001412986979,274.7996720955218,stop
279.799192820142,289.8377003569331,279.4608182071187,279.4985502664716,276.18556302319547,stop
279.54368165463615,289.5817256365378,279.1812204225954,279.1206151377048,275.4137771252676,stop
279.25939660510795,289.92828598817397,280.0340443229453,279.86957969869906,275.61839583494236,stop
281.09253032572633,290.3531052052267,281.15743597195626,280.80324387089206,277.5387339886256,stop
280.0628740597912,290.0327011537362,280.6350732297848,280.1611260562694,276.66570695417033,stop
279.79891191162045,288.74905131717264,279.8940315710554,279.92815657518327,276.81522726218964,stop
280.4446515812763,289.21345053666255,280.8404947368881,280.56552747401855,276.8249306301412,stop
280.78413932710697,288.6725421084232,281.1834757162478,280.8975912607889,276.8486735430226,stop
281.2116460689317,289.5829086688723,281.993542831674,281.9007997936203,277.4019798891232,stop
278.61238556058333,288.66441894567424,278.469529906461,278.6512661705425,275.1212289509393,stop
278.11048363244487,289.16239974190125,278.4852349468172,278.5671175690852,275.01791355444766,stop
280.4826299779386,289.5726569920332,280.6891661420003,280.8322172767349,276.957655277468,stop
279.632796272455,289.78366528758374,280.71067430429656,280.9907805859596,276.8563321391779,stop
279.7395928156811,288.6503432944064,280.2004752162154,280.3330309557522,276.8009967359908,stop
279.7858922429556,288.08518819487153,279.7102954754305,279.6903230318542,276.2272386794757,stop
282.8950039025328,289.14985562676327,283.2115655218778,283.2044176191596,279.76855932730905,stop
281.6176969361423,289.5557903539851,282.0677194612312,282.130762705429,278.32373052611814,stop
280.37891601588234,289.56250435983884,281.31268004372896,281.85072733615925,278.0797054174601,stop
280.86444008243507,289.0298562646793,281.58366650945334,281.64830711136904,277.1765822025054,stop
280.61994864650393,288.8715760399129,281.02414061193133,280.88995309509187,276.37724048623323,stop
280.32324575084914,289.0612321204988,281.1247526572197,281.1754357288419,276.6430791975647,stop
281.1162055816105,288.84730907180847,281.2182495925276,280.82937282133594,277.1482464919552,stop
280.9897372223387,289.1871794475593,281.81945932820344,281.7844270855156,277.9451180822732,stop
280.8604440089141,288.6934592640178,280.918173518293,280.67212862822663,277.08870479230904,stop
281.52343488047484,289.3210501963172,282.1543171296775,282.11594624904683,277.31796983835835,stop
280.74596021605436,288.97568498597815,281.0945055719885,281.0244474217733,277.71264777380213,stop
282.5864315875815,289.07347703083707,283.01156830758447,282.6094907757081,277.39280074826735,stop
282.2725879231391,290.01237751393984,283.4108016916416,283.5832094069516,278.1073335531949,stop
280.6872484644831,289.44968895906845,281.8626796076689,282.0651147895201,276.88271516480745,stop
281.2236443796378,289.2224997943942,282.5162161930588,283.1039460270444,279.28419099653746,stop
282.7722535404069,289.0036610365508,283.5744889616541,283.28693706118435,278.6485732432543,stop
283.53201827593114,289.5559566383102,284.0787211758039,283.23541657595257,278.5122371527747,stop
